"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Van Hout, Vicki","","Inter-Arts Office","Indigenous New Media Arts","$18,700.00","15-MAY-2012","10-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Hodges, Benjamin","","Aboriginal and Torres Strait Islander Arts Panel","Skill and Arts Development Out of Time","$3,700.00","14-MAY-2012","30-JUN-2012","QLD","AUSTRALIA","LEICHHARDT"
"Black Swan State Theatre Company Ltd","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$50,000.00","11-MAY-2012","30-JUN-2012","WA","AUSTRALIA","PERTH"
"Writing Australia Ltd","","Literature Section","Board Funded Initiatives","$10,000.00","10-MAY-2012","01-JAN-2012","ACT","AUSTRALIA","CANBERRA"
"BQBK Collective","","Music Section","Indigenous Music Theatre Initiative","$28,993.00","10-MAY-2012","12-MAR-2012","QLD","AUSTRALIA","GRIFFITH"
"Constantina Bush and the Bushettes","","Music Section","Indigenous Music Theatre Initiative","$30,000.00","10-MAY-2012","12-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Elektra String Quartet Inc","","Music Section","Indigenous Music Theatre Initiative","$29,848.00","10-MAY-2012","12-MAR-2012","NSW","AUSTRALIA","WENTWORTH"
"The Black Arm Band Incorporated","","Music Section","Indigenous Music Theatre Initiative","$30,000.00","10-MAY-2012","12-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Ausdance National (trading as Australian Dance Council - Ausdance  Inc)","Australian Dance Council Ausdance Inc","Dance  Section","National Dance Forum 2013","$70,000.00","08-MAY-2012","08-MAY-2012","ACT","AUSTRALIA","CANBERRA"
"Queensland Ballet Company Ltd","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$15,000.00","07-MAY-2012","30-JUN-2012","QLD","AUSTRALIA","GRIFFITH"
"Arts Radar Pty Ltd","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Batten, Bronwyn","Bron Batten","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","VIC","AUSTRALIA","MCEWEN"
"Halit, Alison","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","VIC","AUSTRALIA","BATMAN"
"Leys, Jenifer","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Maakan","","Arts Development Division","Innovative Producers","$50,000.00","04-MAY-2012","05-APR-2012","VIC","AUSTRALIA","INDI"
"Papas, Kath","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Sleswick, Dave","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","QLD","AUSTRALIA","BRISBANE"
"Stumm, Harley","","Arts Development Division","Innovative Producers","$49,990.00","04-MAY-2012","05-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Voth, Erin","","Arts Development Division","Innovative Producers","$10,000.00","04-MAY-2012","05-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Aiken, Sarah","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Amato, Santina","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Angus, Quentin","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NEW YORK","USA",""
"Babington, Brooke","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"BOLT, STEPH","Steph","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","FLINDERS"
"Boneham, Alexander","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","BEROWRA"
"Brain, Tega","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NY","USA",""
"Carr, Hamish","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Carthew, Laura","","Arts Funding Division","ArtStart","$9,982.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Castles, Paul","","Arts Funding Division","ArtStart","$7,484.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Charnas, Irene","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","KINGSFORD SMITH"
"Childs, Holly","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","","NETHERLANDS",""
"Corecig, Katherine","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","CANNING"
"Cummins, David","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Day, Michelle","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","ACT","AUSTRALIA","FENNER"
"de Carvalho, Selena","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","TAS","AUSTRALIA","DENISON"
"de Vega, Inez","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","HIGGINS"
"Deusien, Adam","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","CALARE"
"Dietz, Natalie","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Edgar, David","","Arts Funding Division","ArtStart","$8,040.00","04-MAY-2012","02-MAR-2012","TAS","AUSTRALIA","DENISON"
"Eisen, James","James Eisen","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GOLDSTEIN"
"Ennis-Thomas, Louisa","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","LEICHHARDT"
"Evans, Catherine","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","","GERMANY",""
"Fowler, Erin","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","ADELAIDE"
"Greaves, Matthew","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Hall, Harrison","","Arts Funding Division","ArtStart","$9,020.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Harkins-Cross, Rebecca","","Arts Funding Division","ArtStart","$9,980.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Harrison, Nathan","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Henry, Kathryn","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Herbert, Melanie","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Hersch, Samara","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Horsley, Felicity Jane","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","KOOYONG"
"Horsley, Matthew","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MCEWEN"
"Hungerford, Robin","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","MACQUARIE"
"Jackson Wyatt, Alexander","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"James, Hannah","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Joffe, Lauren","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GOLDSTEIN"
"Keig, Danny","","Arts Funding Division","ArtStart","$9,828.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","BRADFIELD"
"Kelly, Kaylene","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","GROOM"
"Kiley, Benjamin","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","","SINGAPORE",""
"King, Martin","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Kokkinos-Kennedy, Katerina","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Krupic, Minela","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Langton-Batty, Ruby","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","SYDNEY"
"Lee Speyer, Melissa","","Arts Funding Division","ArtStart","$7,458.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","REID"
"Lee, Michele","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Lewry, Sally","","Arts Funding Division","ArtStart","$9,900.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Linnell, Larissa","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Lorenzon, Alanna","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Lovell, Bronwyn","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","STURT"
"Maitland, Trevor","","Arts Funding Division","ArtStart","$9,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","CORIO"
"Maree, Eloise","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","BRISBANE"
"McAliece, Edward","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","JAGAJAGA"
"McAuley, Iona","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","PERTH"
"McCarthy, Anna","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"McCormick, Kathy","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"McDonald, Robert","","Arts Funding Division","ArtStart","$9,110.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BALLARAT"
"McInerney, Lea","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"McKay, Laura Jean","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"McLean, Peter","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","FAIRFAX"
"Morgan, Evan","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Nel, Kobie","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","HORDALAND","NORWAY",""
"Nelson, Peter","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Nester, Sam","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NEW YORK","USA",""
"Niotakis, Melissa","Melly","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","GRIFFITH"
"O'Dempsey, Kellie","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","RICHMOND"
"Pedler, Elizabeth","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","CURTIN"
"Phillipson, Scott Thomas","","Arts Funding Division","ArtStart","$7,280.00","04-MAY-2012","02-MAR-2012","BERLIN","GERMANY",""
"Plevey, Alison","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","ACT","AUSTRALIA","FENNER"
"Poppi, Clare","","Arts Funding Division","ArtStart","$9,663.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","RYAN"
"Roberts, Rachel","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Robinson, Brooke","","Arts Funding Division","ArtStart","$9,775.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","WERRIWA"
"Ropeyarn, Teho","","Arts Funding Division","ArtStart","$9,959.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","LEICHHARDT"
"Savery, Richard","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Schwenk, Sylvia","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","ACT","AUSTRALIA","CANBERRA"
"Seeto, Ronald","Ron Seeto","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","LILLEY"
"Seymour, Kieren","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Shadler, Renae","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Sheridan, Dylan","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","TAS","AUSTRALIA","LYONS"
"Smits, Kristel","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Spiers, Amy","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Streader, Meagan","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","WILLS"
"Sturgess, Helen","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Tammens, Nicholas","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Taylor, Craig","CJ","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","ADELAIDE"
"Tonks, Jane","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","CALARE"
"Trace, Genevieve","","Arts Funding Division","ArtStart","$7,405.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","DICKSON"
"Troski, Naomi","","Arts Funding Division","ArtStart","$8,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Wallin, Amelia","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Walsh, Melanie Jame","Melanie Jame Wolf","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Walsh, Ryan","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","RYAN"
"WEBSTER, SAMUEL","","Arts Funding Division","ArtStart","$9,937.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","BEROWRA"
"White, Desmond","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","","USA",""
"White, Maria","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","BARTON"
"White, Vanessa","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Williams, Alice","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Williams, Brooke","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Williams, Paul","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","HUGHES"
"Willis, Melinda","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","ACT","AUSTRALIA","FENNER"
"Wolski, Karin","Karin Page","Arts Funding Division","ArtStart","$7,880.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","COWAN"
"Woods, Zoe","","Arts Funding Division","ArtStart","$10,000.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","BOOTHBY"
"Batten, Karen","","Community Partnerships Section","Professional Development","$1,977.00","04-MAY-2012","02-MAR-2012","QLD","AUSTRALIA","GRIFFITH"
"Kneebone, Adrienne","","Community Partnerships Section","Professional Development","$6,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","CASEY"
"Australian Festival for Young People Inc (Come Out Festival)","","Community Partnerships Section","Projects (under $20k)","$19,995.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","ADELAIDE"
"Buzz Dance Theatre Ltd","Buzz Dance Theatre","Community Partnerships Section","Projects (under $20k)","$20,000.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","PERTH"
"Karungkarni Art and Culture Aboriginal Corporation","","Community Partnerships Section","Projects (under $20k)","$9,250.00","04-MAY-2012","02-MAR-2012","NT","AUSTRALIA","LINGIARI"
"Southern Edge Arts Inc","","Community Partnerships Section","Projects (under $20k)","$20,000.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","O'CONNOR"
"The Torch Project","","Community Partnerships Section","Projects (under $20k)","$20,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","HIGGINS"
"Vitalstatistix Incorporated","","Community Partnerships Section","Projects (under $20k)","$20,000.00","04-MAY-2012","02-MAR-2012","SA","AUSTRALIA","PORT ADELAIDE"
"Wyndham City Council","","Community Partnerships Section","Projects (under $20k)","$20,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","LALOR"
"Inotrope Productions","","Community Partnerships Section","Projects with Public Outcomes","$28,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Living Learning Australia t/u The Trustee for the McSweeney Family Trust","previously known as Living Music","Community Partnerships Section","Projects with Public Outcomes","$35,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Many Moons Group Inc","","Community Partnerships Section","Projects with Public Outcomes","$35,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Polyglot Theatre","","Community Partnerships Section","Projects with Public Outcomes","$35,000.00","04-MAY-2012","02-MAR-2012","VIC","AUSTRALIA","HIGGINS"
"Riverside Theatres t/u Parramatta City Council","","Community Partnerships Section","Projects with Public Outcomes","$33,586.00","04-MAY-2012","02-MAR-2012","NSW","AUSTRALIA","PARRAMATTA"
"YMCA of Perth Youth and Community Services Inc","","Community Partnerships Section","Projects with Public Outcomes","$31,602.00","04-MAY-2012","02-MAR-2012","WA","AUSTRALIA","SWAN"
"University of Western Sydney (Centre for Cultural Research)","","Inter-Arts Office","Inter-Arts Initiatives","$45,000.00","04-MAY-2012","31-JAN-2012","NSW","AUSTRALIA","LINDSAY"
"Ben-Ary, Guy","","Arts Funding Division","Creative Australia Fellowships - established artis","$100,000.00","03-MAY-2012","31-JAN-2012","WA","AUSTRALIA","HASLUCK"
"Gruchy, Mic","Mic","Arts Funding Division","Creative Australia Fellowships - established artis","$100,000.00","03-MAY-2012","31-JAN-2012","NSW","AUSTRALIA","SYDNEY"
"Hamilton, Antony","","Arts Funding Division","Creative Australia Fellowships - established artis","$100,000.00","03-MAY-2012","31-JAN-2012","VIC","AUSTRALIA","BATMAN"
